Target	SeqId	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD
RBBP9	10064-12	Protein	0.5	3.1510939227850616	0.06914998404232414	1416.1	997.4833279324287
PIN1	10069-2	Protein	20.0	2.818621726375889	0.0983609785108768	658.6	1062.699507865351
PLCG2	10070-22	Protein	20.0	3.0654303186203693	0.28646210734353456	1162.6	3081.4500015298518
TYDP1	10073-22	Protein	20.0	3.0216853522157057	0.11651285907217154	1051.2	2171.5899484505912
BRD2	10074-128	Protein	20.0	2.977815026083187	0.08561123689259342	950.2	1760.7862313175822
ACBD6	10075-75	Protein	20.0	2.6994908452722046	0.481472788433746	500.6	1891.211744706708
AP4M1	10076-1	Protein	20.0	3.1364986081566992	0.16388873550845093	1369.3	2230.6646742601506
BAG3	10078-5	Protein	20.0	2.8923729073984363	0.05772122409854074	780.5	1384.9864662481764
EI2BA	10080-9	Protein	20.0	3.1037695231936726	0.44920435451810675	1269.9	2382.4889589047334
SATB2	10081-17	Protein	20.0	2.8090207204836726	0.09834096971278444	644.2	885.7513014622238
NFL	10082-251	Protein	0.5	2.846213363879387	0.129657744901215	701.8	1147.1292800939163
STAR	10085-25	Protein	0.5	3.0975696394313714	0.10257531595365715	1251.9	1299.0235552179843
CBS	10086-39	Protein	20.0	3.187548920861271	0.09880966052837543	1540.1	8250.12828830189
Alpha crystallin A chain	10087-10	Protein	20.0	2.6122539060964374	0.07248664133979299	409.5	820.8124579642688
APT	10088-37	Protein	20.0	3.6358856852812727	0.5932603756077846	4324.0	9906.121902791632
ASML	10089-7	Protein	20.0	2.837967018368655	0.2171174523525785	688.6	989.4598163344206
CHIP	10336-3	Protein	20.0	2.974649834438722	0.3068469420477807	943.3	5895.316526338851
NSE	10339-48	Protein	20.0	4.003387281823422	0.26705861266379616	10078.3	8933.063351761764
PIAS4	10342-55	Protein	20.0	2.660675788338524	0.11001503645167579	457.8	1223.8802785202222
IL-10 Ra	10344-334	Protein	20.0	3.608868199820541	0.09591900770558154	4063.2	1568.0409682625464
STAT3	10346-5	Protein	20.0	4.248257795508768	0.47949627978883147	17711.6	28243.65943630843
IRF1	10351-51	Protein	20.0	3.03382569395331	0.10132365938593355	1081.0	9675.46912285599
STAT3	10354-57	Protein	20.0	3.661092996291743	0.41469441188254025	4582.4	11245.939967387401
c-Jun	10356-21	Protein	20.0	3.170467076385937	0.10977742177570718	1480.7	1820.8663844939579
OAS1	10361-25	Protein	20.0	2.7281913985899466	0.08220614215001576	534.8	1256.7290714339279
c-Myc	10362-35	Protein	20.0	2.581835924057648	0.09804972467868935	381.8	4311.742290116351
SMAD3	10363-13	Protein	20.0	3.799395694458024	0.38429629808317767	6300.8	8879.16794803563
SMAD2	10364-6	Protein	20.0	3.682506085939011	0.5224972167382165	4814.0	9703.772981521808
IL-23	10365-132	Protein	20.0	3.021478732257527	0.12403457211151159	1050.7	920.9815960692973
PDGFRA	10366-11	Protein	20.0	3.1254487330602623	0.09785014602981718	1334.9	1786.7074069310036
IL-12	10367-62	Protein	20.0	2.3326404103874627	0.08037945540536465	215.1	324.09257272595823
STAT1	10370-21	Protein	20.0	2.850891184135924	0.4014365802380648	709.4	3454.9911605806456
STAT6	10372-18	Protein	20.0	3.6898325386530857	0.3294265625839381	4895.9	7312.934945147191
ATS1_MOUSE	10379-19	Non-Human	20.0	3.097222592519901	0.0906461507496217	1250.9	3121.362104741767
ANGL3	10382-1	Protein	0.5	4.827310458360399	0.08130415491149294	67190.9	14782.476849721661
ZNRF3	10390-21	Protein	20.0	2.752355804153501	0.17223228213772676	565.4	874.0337351019946
ANGL3	10391-1	Protein	0.005	3.2969502395366392	0.12255699410939276	1981.3	1313.6177663504634
Mcl-1	10396-6	Protein	20.0	2.284881714655453	0.10619829647260419	192.7	508.8693656874353
ANKR1	10398-110	Protein	20.0	2.8081434257614912	0.08157304253145965	642.9	1851.7916604155123
Fc_MOUSE	10416-79	Protein	20.0	3.1112961264822623	0.09567895977844863	1292.1	7421.635111588977
STX12	10418-36	Protein	20.0	3.390352125833223	0.15620361774155886	2456.7	2839.9618843356416
SCAR5	10419-1	Protein	20.0	3.809411557915602	0.12138798417522587	6447.8	2839.500439078428
FAIM1	10420-30	Protein	20.0	2.93033763573773	0.15456234575186265	851.8	1520.3420185991417
NPDC1	10424-31	Protein	20.0	2.7351995484223135	0.09417509568414752	543.5	992.313521091168
B4GT5	10425-3	Protein	20.0	2.9776778876739938	0.06814902762254756	949.9	1102.4594764284182
GOSR2	10426-21	Protein	20.0	2.228400358703005	0.17466632868699208	169.2	190.2906704030558
Fc_MOUSE	10427-2	Protein	20.0	3.021478732257527	0.1947542977435962	1050.7	1546.920821681322
KI2S2	10428-1	Protein	20.0	3.216297886630392	0.2161881800605311	1645.5	1311.9517642821525
4F2	10430-31	Protein	20.0	2.2024883170600935	0.09986165937101	159.4	440.96564179445403
K1644	10432-3	Protein	20.0	2.17435059747938	0.06430624907369417	149.4	562.2124219371608
ASPG	10435-2	Protein	20.0	2.867231714518894	0.07875191338982841	736.6	374.80152726644957
CSF2R	10438-19	Protein	0.5	3.027879409207207	0.09143574629757945	1066.3	1020.1530660367476
Alpha-amylase 2B	10439-57	Protein	20.0	3.747442883302837	0.1693737326372251	5590.4	3056.898267649268
ACAM	10440-26	Protein	20.0	3.0400086360135417	0.09737909370873392	1096.5	2479.773106022722
TM190	10442-1	Protein	20.0	2.5280163411892014	0.1733374994807521	337.3	392.4685930453965
ApoM	10445-20	Protein	0.005	2.8432950827365073	0.10576933712012493	697.1	1562.0600502224495
PABP3	10447-18	Protein	20.0	3.4842143959621965	0.20868857967589236	3049.4	2832.4648682306647
TMM46	10449-31	Protein	20.0	3.5301868869674613	0.12755234614623248	3389.9	2283.959430249299
NUCB1	10451-11	Protein	0.5	3.300704152596124	0.09364177059012081	1998.5	1020.2101521694598
Fc_MOUSE	10452-24	Protein	20.0	2.9023836844324715	0.11629158514130306	798.7	1009.59496011527
CEA20	10453-7	Protein	20.0	2.020775488193558	0.09294379885572525	104.9	646.835012615072
DJC16	10454-99	Protein	20.0	2.4733409641859354	0.30845737576386095	297.4	932.9574850221017
IL-31	10455-196	Protein	20.0	2.695831772826692	0.10929952967267653	496.4	6913.776740916443
IL-18 Rb	10457-3	Protein	20.0	2.676602169582018	0.07960905632668508	474.9	1944.620206328871
Chitotriosidase-1	10460-1	Protein	20.0	3.4676820847136822	0.31413242276608105	2935.5	3558.568710455505
Fc_MOUSE	10461-57	Protein	20.0	2.3161800988934527	0.07126923584976584	207.1	697.313746603519
INSL5	10462-14	Protein	20.0	2.568201724066995	0.11392319929307167	370.0	561.0204328781625
Alkaline phosphatase, intestine	10463-23	Protein	20.0	2.9320169064342014	0.08064837014269441	855.1	698.4538432834307
ANTR1	10464-6	Protein	20.0	3.157789086282049	0.10681597497111259	1438.1	1009.4401174172781
Fc_MOUSE	10467-58	Protein	20.0	2.6461095219788477	0.09176034156701444	442.7	997.664671384917
TXD11	10470-34	Protein	20.0	2.6137361412618714	0.19275124239144487	410.9	2847.0496989302865
Fc_MOUSE	10471-25	Protein	20.0	2.678700434998304	0.08914799203500698	477.2	774.7856846789334
HVEM	10472-53	Protein	20.0	3.180211922348941	0.1247366393287562	1514.3	1032.0243531248693
Trefoil factor 2	10473-2	Protein	20.0	2.342422680822206	0.10878886023583247	220.0	1147.4863954730433
Fc_MOUSE	10476-23	Protein	20.0	3.639247362265076	0.3090190123769854	4357.6	4026.376544912068
Fc_MOUSE	10477-162	Protein	20.0	2.721068301797159	0.24213942481440487	526.1	456.59314079713704
MMP-10	10479-18	Protein	20.0	3.573741641520317	0.17501269396524347	3747.5	3603.9293943719786
CD59	10480-33	Protein	20.0	2.7670816213633223	0.09406574934753535	584.9	1824.2113081670077
MAGE-4	10485-56	Protein	20.0	1.7267272090265722	0.2797264541541935	53.3	69.27530607638874
Fc_MOUSE	10489-19	Protein	20.0	2.1844074854123203	0.0951277463405519	152.9	250.345855926698
RPN1	10490-3	Protein	20.0	3.591876757358062	0.12359046978385048	3907.3	2829.297156508578
Fc_MOUSE	10491-21	Protein	20.0	3.1687920203141817	0.12692856512543965	1475.0	5712.927125420039
Fc_MOUSE	10494-48	Protein	20.0	2.4507108781469196	0.06979451999483463	282.3	2625.308978519703
Fc_MOUSE	10495-10	Protein	20.0	2.2706788361447066	0.08190950212467825	186.5	358.29826326931527
CaCC	10496-11	Protein	20.0	2.777281791671015	0.09759429303329724	598.8	2490.6200840864876
Fc_MOUSE	10497-242	Protein	20.0	2.603793704136963	0.10968069932986543	401.6	465.8022556144354
T106A	10499-1	Protein	20.0	2.353916230920363	0.121339788182935	225.9	720.1524307941696
Fc_MOUSE	10501-3	Protein	20.0	1.6334684555795864	0.2807354591652001	43.0	190.2264039962824
Fc_MOUSE	10502-15	Protein	20.0	2.7382254481425052	0.09112020271431584	547.3	1121.4487433328068
Fc_MOUSE	10503-55	Protein	20.0	2.9444826721501687	0.10818268686896118	880.0	2686.6505082045446
Fc_MOUSE	10504-6	Protein	20.0	2.427972713608209	0.07701159560234677	267.9	435.55154890000347
RNF43	10505-12	Protein	20.0	2.8741337788279724	0.09031984605456603	748.4	1344.8342187404035
PGRC2	10506-53	Protein	20.0	2.966000857628784	0.09690387975085274	924.7	1527.7895862076443
sperm protein 10	10507-166	Protein	20.0	2.3428173146357327	0.08762169605195783	220.2	923.552567076146
SCIMP	10510-62	Protein	20.0	2.3348556896172914	0.07735923585184638	216.2	283.15877707045894
Collagen alpha-3(VI)	10511-10	Protein	0.5	2.840670561333409	0.4216819479711017	692.9	697.4114708333724
IL3RB	10512-13	Protein	20.0	2.459392487759231	0.09394893122129144	288.0	1898.6087005070094
CSEN	10513-13	Protein	20.0	2.832508912706236	0.12640531559854604	680.0	9865.737997910226
PGD2 synthase	10514-5	Protein	0.5	4.306834465332807	0.12134190597110543	20269.1	6757.167722208548
Fc_MOUSE	10516-53	Protein	20.0	1.904715545278681	0.05455366422547555	80.3	110.8161952066503
Fc_MOUSE	10518-14	Protein	20.0	2.0584260244570056	0.08032587161156783	114.4	282.1862550790251
MXRA8	10521-10	Protein	0.5	2.7417816961431667	0.08694656166844793	551.8	415.6060826287158
Fc_MOUSE	10522-167	Protein	20.0	3.8238653093245114	0.16072971074710318	6666.0	3195.8769195132504
DHX9	10527-22	Protein	20.0	2.39375064034808	0.09030288945980579	247.6	243.97875505267868
DPEP1	10528-2	Protein	20.0	2.5461723683169426	0.08334283638226672	351.7	928.9276294462335
Fc_MOUSE	10529-19	Protein	20.0	2.6154239528859438	0.07630729432903664	412.5	864.3190030386988
PSB6	10530-8	Protein	20.0	2.6133131614554594	0.07723243015386341	410.5	3682.1877355500264
RASN	10531-18	Protein	20.0	3.316368790408991	0.12172856000603811	2071.9	1143.3374990724833
Fc_MOUSE	10533-1	Protein	20.0	2.500785172917456	0.11780065645893333	316.8	317.2956646607853
PARP	10534-40	Protein	20.0	2.6148972160331345	0.07847289436524342	412.0	1345.5448029069987
CX6A2	10535-25	Protein	20.0	2.2624510897304293	0.20216265767299646	183.0	1007.9394527230294
C99L2	10539-30	Protein	20.0	2.7888044930446485	0.08032587161156783	614.9	945.4967203928113
TSEAR	10546-2	Protein	20.0	2.9505595616118003	0.12303347004905975	892.4	1475.273105026529
Fc_MOUSE	10547-42	Protein	20.0	2.7321524180652137	0.07307097311495267	539.7	883.4859220417517
Fc_MOUSE	10548-35	Protein	20.0	3.3887227004751757	0.22660226015458518	2447.5	3466.027762276103
BMP RIB	10550-37	Protein	20.0	2.667826378950711	0.08443920542024888	465.4	1056.6435565768918
LAT	10551-7	Protein	20.0	3.2559716387287243	0.44892014678512926	1802.9	9668.361380881432
NKG2F	10552-88	Protein	20.0	2.75785134368558	0.1538978561173903	572.6	1087.210355641323
TOIP2	10553-8	Protein	20.0	3.3660492098002353	0.08906702494214074	2323.0	2411.25913758347
BGAL	10554-23	Protein	20.0	1.5526682161121932	0.21690735579198053	35.7	36.835263535317544
TEX29	10557-6	Protein	0.5	2.889917683436206	0.09725360328509797	776.1	540.6198192916213
PCDH9	10558-26	Protein	20.0	3.6048845576636235	0.09928058987440572	4026.1	1297.828393836404
ITM2C	10560-1	Protein	20.0	2.467312062980552	0.10583899390776733	293.3	546.0240736099867
PGRP-I-alpha	10561-5	Protein	20.0	2.8497878242376857	0.10782027373153537	707.6	1668.272681377554
NETO2	10562-42	Protein	20.0	2.873959654743353	0.11443243628500135	748.1	1694.8875170113215
LYSM3	10563-13	Protein	20.0	2.2730012720637376	0.07511346692760576	187.5	610.8035754498192
SLIK3	10565-19	Protein	20.0	3.673076227743187	0.26493949780674114	4710.6	2839.953181107538
MFAP2	10569-28	Protein	0.5	3.0655050230983902	0.1027581919546158	1162.8	754.5979392643636
MGAT1	10571-14	Protein	20.0	2.6290016192869916	0.10957493525614972	425.6	826.7960399670867
CST8	10572-65	Protein	20.0	4.010893313104381	0.11229308522337676	10254.0	3187.5209990031167
b2-Microglobulin	10574-10	Protein	20.0	3.1696744340588068	0.19420051124518248	1478.0	11901.490951291566
PUF60	10575-31	Protein	20.0	3.7429292724060197	0.10229432693917531	5532.6	6412.938069142282
PXDC2	10576-7	Protein	0.5	2.7858990283843834	0.07108932512736552	610.8	330.9221222865392
SFTA2	10580-14	Protein	20.0	2.593618308129536	0.09364481006049032	392.3	3276.9509248377217
SG196	10582-36	Protein	20.0	2.5735677730392186	0.11014725001440484	374.6	8370.21508697951
TM108	10583-1	Protein	20.0	2.5153438930883807	0.09925545882817542	327.6	898.0220006662092
NDUS4	10584-7	Protein	20.0	3.5697132524760833	0.1978609260515077	3712.9	2323.127425869089
SIAT9	10588-39	Protein	20.0	2.5644293269979834	0.08521053711570692	366.8	770.0022520265907
RET1L	10589-7	Protein	20.0	2.6326597132939136	0.12480250438370577	429.2	1621.5436593336121
Fc_MOUSE	10593-14	Protein	20.0	2.0692980121155293	0.24964789209755794	117.3	110.61822459661485
CLGN	10600-24	Protein	0.5	3.7693182343715907	0.1596124525978008	5879.2	2511.9105939342035
HIS3	10603-1	Protein	20.0	3.106598813212537	0.1348984305285196	1278.2	1076.8778740916318
APMAP	10605-22	Protein	20.0	2.225309281725863	0.09081530121785268	168.0	135.46901367343756
TOIP1	10606-34	Protein	20.0	3.554028575820873	0.11826509298473561	3581.2	5730.042091692932
Fc_MOUSE	10607-4	Protein	20.0	1.4742162640762553	0.20386824839237624	29.8	46.61672913766696
HIS1	10608-9	Protein	20.0	2.784260582566084	0.11244008142351124	608.5	2310.3198682814023
Fc_MOUSE	10610-8	Protein	20.0	3.01632285401379	0.0929256497550014	1038.3	1085.6070493067054
PLOD3	10612-18	Protein	0.5	3.332135358019922	0.12945217240329568	2148.5	836.5672147204681
CASC4	10613-33	Protein	20.0	3.302309278369985	0.09823204425432058	2005.9	821.8331029868427
MYP0	10615-18	Protein	20.0	3.2118944233009867	0.10212108193915133	1628.9	698.802025769751
PDXL2	10616-67	Protein	20.0	2.7227161674884948	0.10519614284391544	528.1	13283.15226223865
megalin	10618-190	Protein	20.0	2.7000110623221123	0.07860686515929449	501.2	3644.9715670468972
PSP-94	10620-21	Protein	20.0	3.903670467751459	0.23526799375060448	8010.7	4937.147420375757
PRR16	10621-26	Protein	20.0	2.6979264448065052	0.15989299629506892	498.8	8342.944972493337
Fc_MOUSE	10622-9	Protein	20.0	2.220108088040055	0.11415379119818808	166.0	242.37591225517724
MUC1	10623-19	Protein	20.0	2.5922878159521305	0.10200523223503612	391.1	559.2555195968239
ISK13	10624-45	Protein	20.0	2.461048091670658	0.08636863280403506	289.1	592.2302838949723
SIA7C	10626-116	Protein	20.0	3.1947362887286945	0.07659686661001314	1565.8	1734.8122485700571
APLP2	10627-87	Protein	0.5	3.1128060172668848	0.16825235355102217	1296.6	800.7132816297262
HTAI2	10630-5	Protein	20.0	2.9709044981537835	0.13441429421973988	935.2	1394.6646831789187
PGRC2	10631-9	Protein	20.0	3.0062948579813855	0.1027128292111647	1014.6	1238.393584076839
MO2R1	10636-1	Protein	20.0	2.5615783683009608	0.10058205629425598	364.4	821.7349138174415
K1324	10637-50	Protein	20.0	2.45484486000851	0.05911359220225565	285.0	221.30831227979476
TINF2	10638-1	Protein	20.0	2.149527013754348	0.09735687290827598	141.1	237.9407769749734
Fc_MOUSE	10639-1	Protein	20.0	3.441585173750801	0.16189029526647555	2764.3	1640.432968467524
Fc_MOUSE	10640-9	Protein	20.0	2.4668676203541096	0.1063116428854558	293.0	793.8532254224547
NOE3	10643-16	Protein	20.0	3.271051261492347	0.11351495099871073	1866.6	4751.704013441017
Fc_MOUSE	10645-72	Protein	20.0	3.5356991038528873	0.15145266958700296	3433.2	4113.964323734892
ASCC1	10647-18	Protein	0.5	3.1319072427743864	0.07833267133539498	1354.9	619.6300369331536
Fc_MOUSE	10655-43	Protein	20.0	1.9299295600845878	0.2011152202156158	85.1	105.22184450044357
Fc_MOUSE	10658-28	Protein	20.0	2.7591388162811663	0.11085846563046362	574.3	6686.292130802099
Fc_MOUSE	10659-49	Protein	20.0	2.2105860249051563	0.06981951905175415	162.4	420.78988005241393
Fc_MOUSE	10660-33	Protein	20.0	2.343014497150768	0.0996940234692794	220.3	645.2521760732752
Fc_MOUSE	10661-4	Protein	20.0	2.2005769267548483	0.08537011358468616	158.7	491.4402008135475
INSI1	10663-42	Protein	20.0	2.594171479114912	0.08823099723778947	392.8	1195.2428097580555
Fc_MOUSE	10665-30	Protein	20.0	2.9253120914996495	0.08175420063415124	842.0	509.0065884086047
GNPTG	10666-7	Protein	0.005	2.900530982452756	0.07554191636674255	795.3	772.781113703648
CA185	10667-78	Protein	20.0	2.2753113545418118	0.06048138020965619	188.5	483.14294811275386
STX4	10668-5	Protein	20.0	3.202433822489233	0.30019322613898597	1593.8	3448.4056715201186
Semaphorin 3E	10670-26	Protein	20.0	1.6646419755561255	0.22450211503461068	46.2	302.0045179663353
Fc_MOUSE	10671-67	Protein	20.0	2.416640507338281	0.10220906933924004	261.0	458.40969650512096
SP-B	10672-75	Protein	20.0	2.426836453803508	0.1597213218768901	267.2	378.70419333616945
TMX2	10675-223	Protein	20.0	2.2543063323312857	0.14135288478462252	179.6	397.2229190019731
NDUB4	10677-9	Protein	20.0	3.5226919584910807	0.15886941476775512	3331.9	1439.9327699514745
Fc_MOUSE	10692-48	Protein	20.0	3.4155242183732293	0.13233584242671664	2603.3	4607.943635403627
KLRG2	10693-43	Protein	20.0	2.722551662000958	0.1799302796674726	527.9	8241.790211210737
WF10B	10695-12	Protein	20.0	2.5358002908248976	0.08572112072545204	343.4	706.3842043633191
LRP1	10699-52	Protein	20.0	2.5390760987927767	0.07277133207145982	346.0	962.7991137283569
IGS11	10700-10	Protein	20.0	2.658106835506393	0.30022802105689067	455.1	5067.092270860614
Fc_MOUSE	10701-30	Protein	20.0	3.0818871394235496	0.09875796144019938	1207.5	1128.3255092499132
COSA1	10702-1	Protein	0.5	3.6845850658873736	0.10616866807155374	4837.1	1486.2525779841205
SDS3	10703-203	Protein	20.0	2.8314858392486575	0.08836979218917837	678.4	1517.313706976623
LRMP	10704-91	Protein	20.0	2.2062860444124324	0.11643398369897909	160.8	1076.9488794546462
SIA7C	10705-14	Protein	20.0	2.3935752032695876	0.08319762007149539	247.5	648.1707771849622
GON2	10708-3	Protein	20.0	2.450557009418329	0.1284411168592708	282.2	822.1921227521005
ZPBP2	10710-23	Protein	20.0	1.9350031514536548	0.06775706959825332	86.1	196.56758047638274
CLM7	10713-151	Protein	20.0	2.1835545336188615	0.07593260168470428	152.6	252.18282712268635
ACE	10714-7	Protein	0.5	2.774443968924965	0.12438070021111118	594.9	379.73597813020484
Fc_MOUSE	10715-5	Protein	20.0	3.5263134257584245	0.1392481367599675	3359.8	3312.2626210101675
PSMD5	10716-35	Protein	20.0	2.857935264719429	0.08979658311951735	721.0	720.727808080271
HSP 70	10721-76	Protein	20.0	3.922175106860018	0.10778579147969632	8359.4	2543.837466343948
KSYK	10722-13	Protein	20.0	3.606596309179285	0.2630756020328754	4042.0	4507.495968363363
Fc_MOUSE	10723-41	Protein	20.0	3.2144199392957367	0.09863351436185133	1638.4	1629.920546127366
Fc_MOUSE	10724-45	Protein	20.0	2.747489492258673	0.07322416185112542	559.1	465.9368363701454
HS3S5	10731-10	Protein	0.5	3.3727279408855955	0.08096799167082099	2359.0	1548.8702643633217
G3ST2	10734-339	Protein	20.0	3.132675849092962	0.22382036148587647	1357.3	776.3831343948518
Serpin B1	10737-96	Protein	20.0	3.7921254274045597	0.15629247915364364	6196.2	17452.131109374754
fibulin 5	10738-11	Protein	20.0	4.430136355795755	0.08384315705852768	26923.8	6180.585445300846
CSF-1	10741-22	Protein	20.0	1.8555191556678001	0.14099053724232635	71.7	52.59595341938362
SLIK1	10743-13	Protein	0.5	3.4410192152508503	0.1782213727462526	2760.7	1248.6496433728073
DKK3	10746-24	Protein	20.0	3.3024391640698574	0.10205335942847887	2006.5	506.4154992818439
PCDB2	10748-216	Protein	20.0	2.8262044234992527	0.10449673783078949	670.2	5279.320526108634
HSP 70	10749-18	Protein	20.0	3.4845987588820284	0.11333548800933042	3052.1	1026.4358467628451
CDYL2	10752-8	Protein	20.0	2.7040646794085674	0.11553874725379251	505.9	981.4925544633046
ADAM7	10753-31	Protein	20.0	2.7936507177071728	0.17421471166434496	621.8	5743.512045948418
Prokineticin-2	10754-113	Protein	20.0	3.393259237826838	0.28766235103429033	2473.2	2786.6342114443464
UCN3	10756-34	Protein	20.0	2.962937288430002	0.11803976268561668	918.2	568.9784490066119
KERA	10758-2	Protein	20.0	3.349782453363471	0.09308870798461502	2237.6	674.3830333908326
GRIA4	10760-107	Protein	20.0	3.5120169694961265	0.13759282012227955	3251.0	2333.150167983142
TMED2	10761-5	Protein	20.0	2.799409479615127	0.07859202205291362	630.1	793.8226248169485
KLRG2	10762-2	Protein	20.0	2.922673567858554	0.0958025674806839	836.9	930.5943918542295
GPR64	10767-52	Protein	20.0	2.775974331129369	0.08705842950133597	597.0	1411.0975239616478
CGAT2	10772-21	Protein	20.0	2.5009222391903005	0.09450673645264103	316.9	723.1283131191036
RAB3D	10780-10	Protein	20.0	2.2681097298084785	0.09527389562786158	185.4	378.86025836352843
CLC4G	10781-19	Protein	0.5	3.6673221778745195	0.08666399754330606	4648.6	3280.9091884667564
LRC52	10785-8	Protein	20.0	2.812779707008964	0.15518884444169803	649.8	2977.0085356759996
Fc_MOUSE	10791-21	Protein	20.0	2.004751155591001	0.09155300315091346	101.1	210.73063276078776
CLM2	10798-4	Protein	20.0	2.749968083509403	0.09371891723815265	562.3	1952.7288946598567
Collagen-binding protein	10800-15	Protein	20.0	3.0546513504417416	0.34110225417269113	1134.1	3102.8722677127503
Ephrin-A2	10801-11	Protein	20.0	3.4414908985372823	0.07431231251372794	2763.7	1934.3015715017257
HSP 70	10803-22	Protein	20.0	3.4995083804061005	0.1101336454092384	3158.7	2764.030876172111
KLRB1	10809-14	Protein	20.0	2.5667909123815917	0.08706924986328293	368.8	6839.211007571282
CD1A	10814-7	Protein	20.0	2.9804124616068917	0.10807223605558339	955.9	1566.072474132112
HABP4	10815-2	Protein	20.0	2.5485122563410356	0.07955094206007324	353.6	681.1088225086734
PILRA isoform FDF03-M14	10816-150	Protein	20.0	3.5710679786102455	0.7011678624141728	3724.5	3934.444622372055
TO20L	10817-26	Protein	20.0	3.499645850172348	0.1365002356443177	3159.7	1872.5469682881303
ASM	10818-36	Protein	0.5	3.06020662106735	0.14246099053088807	1148.7	976.1043148779942
fibulin 1	10819-108	Protein	0.005	3.6594027259220017	0.1135183456963709	4564.6	1590.3106250970998
Fc_MOUSE	10823-19	Protein	20.0	3.198821977603206	0.11684050869895153	1580.6	1392.0134152082903
VSI10	10825-12	Protein	20.0	2.8522969658269255	0.09293025816802068	711.7	3003.3387044119727
LIGO3	10827-67	Protein	20.0	2.390581878550435	0.06702570050650045	245.8	255.75442721126493
K0494	10830-5	Protein	20.0	2.5792117802314993	0.07992377980182626	379.5	1059.7803894876433
